product_description,base_product_number,product_line,production_cost,product_image,product_type,color,gross_margin,product_line_code,product_name,introduction_date,title,product_type_code,product_size,brand,discontinued_date,product_brand_code,product_size_code,product_color_code,product_number
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Red,0.0,993,Venue,2005-04-01 00:00:00.0,Venue,960,One-size,Relax,,756,853,922,125150
"Lightweight, collapsible bag to carry liquids easily.  Wide mouth for easy filling.  Holds 10 liters.",1,Camping Equipment,4.00,P01CE1CG1.jpg,Cooking Gear,Clear,0.33,991,TrailChef Water Bag,1995-02-15 00:00:00.0,TrailChef Water Bag,951,10 liters,TrailChef,,701,808,908,1110
"Aluminum canteen. Rugged fleece-lined cover with belt clips, removable shoulder sling and small pocket for water purification tablets bottle. Holds 2 liters",2,Camping Equipment,9.22,P02CE1CG1.jpg,Cooking Gear,Brown,0.23,991,TrailChef Canteen,1995-02-15 00:00:00.0,TrailChef Canteen,951,2 liters,TrailChef,,701,807,906,2110
"Zippered nylon pouch contains cutlery for two, can opener, wire whisk, scrubber sponge, 2  60 ml squirt bottles, pancake turner and salt and pepper shaker.  Measures 10 x 22 x 5 cm.",3,Camping Equipment,15.93,P03CE1CG1.jpg,Cooking Gear,Unspecified,0.28,991,TrailChef Kitchen Kit,1995-02-15 00:00:00.0,TrailChef Kitchen Kit,951,15-piece,TrailChef,,701,825,924,3110
Tin cup. Holds 0.4 liters. Weight: 60 g,4,Camping Equipment,5.00,P04CE1CG1.jpg,Cooking Gear,Silver,0.28,991,TrailChef Cup,1995-02-15 00:00:00.0,TrailChef Cup,951,330 ml,TrailChef,,701,804,923,4110
All you will ever need on the trail.  Pot gripper and nylon carrying bag included.  1.5 and 2 liter pots with individual lids. Weight: 750 g.,5,Camping Equipment,34.97,P05CE1CG1.jpg,Cooking Gear,Silver,0.3,991,TrailChef Cook Set,1995-02-15 00:00:00.0,TrailChef Cook Set,951,6-piece,TrailChef,,701,823,923,5110
"Cascade set features 1, 2, and 3 liter pots with individual lids that double as fry pans or plates. Pot gripper and nylon carrying bag included.  Weight: 1.4 kg.",6,Camping Equipment,85.11,P06CE1CG1.jpg,Cooking Gear,Silver,0.28,991,TrailChef Deluxe Cook Set,1997-03-05 00:00:00.0,TrailChef Deluxe Cook Set,951,9-piece,TrailChef,,701,824,923,6110
"A single burner stove with integral tank.  It features precise flame control so you will never have to settle for burnt camp food again.  Weight 624 g, fuel is white gas.",7,Camping Equipment,46.38,P07CE1CG1.jpg,Cooking Gear,Silver,0.28,991,TrailChef Single Flame,1995-02-15 00:00:00.0,TrailChef Single Flame,951,Single-burner,TrailChef,,701,845,923,7110
"The TrailChef Double Flame is a camp stove which attaches directly to fuel canisters. Features precise flame control and a built-in windscreen.  Weight is 850 g, fuel is propane.",8,Camping Equipment,75.00,P08CE1CG1.jpg,Cooking Gear,Green,0.41,991,TrailChef Double Flame,1997-03-05 00:00:00.0,TrailChef Double Flame,951,Double-burner,TrailChef,,701,846,912,8110
"This old-fashioned style kettle is made of durable enamel.  Weight: 350g, Holds 1.5 liters.",9,Camping Equipment,9.00,P09CE1CG1.jpg,Cooking Gear,Ash,0.25,991,TrailChef Kettle,1997-03-05 00:00:00.0,TrailChef Kettle,951,1.5 liters,TrailChef,,701,806,900,9110
"Spoon, fork and knife set made of a light yet strong metal alloy.  Carrying pouch included.",10,Camping Equipment,10.00,P10CE1CG1.jpg,Cooking Gear,Silver,0.4,991,TrailChef Utensils,1995-02-15 00:00:00.0,TrailChef Utensils,951,4-piece,TrailChef,,701,822,923,10110
"A perfect tent for biking and hiking trips, compact and very light.  Features three shock cord aluminum poles, and three large mesh windows.  Packed size: 15 x 40 cm. Weight: 0.5 kg.",11,Camping Equipment,250.00,P11CE1TN2.jpg,Tents,Beige,0.28,991,Star Lite,1995-02-15 00:00:00.0,Star Lite,952,Two-person,Star,,702,842,901,11110
"Four pole geodesic dome mountain tent that comfortably fits two to three people. 10 mm aluminum poles, mesh pole sleeves and taped seams.  Packed size: 22 x 63 cm. Weight: 4.8 kg.",12,Camping Equipment,473.07,P12CE1TN2.jpg,Tents,Red,0.23,991,Star Dome,1997-03-05 00:00:00.0,Star Dome,952,Three-person,Star,,702,843,922,12110
The Star Gazer 2 is the Great Outdoor's most versatile tent.  It is a large two-person tent that is both durable and light weight.  Packed size: 18 x 70 cm. Weight: 2.6 kg.,13,Camping Equipment,392.57,P13CE1TN2.jpg,Tents,Light Blue,0.25,991,Star Gazer 2,1995-02-15 00:00:00.0,Star Gazer 2,952,Two-person,Star,,702,842,915,13110
"The Star Gazer 3 features a water proof fly, mesh window and two doors for good ventilation.  Packed size: 20 x 70 cm. Weight: 5.3 kg.",14,Camping Equipment,476.00,P14CE1TN2.jpg,Tents,Red,0.2,991,Star Gazer 3,1997-03-05 00:00:00.0,Star Gazer 3,952,Three-person,Star,,702,843,922,14110
"Massive cabin tent has ample room for six people. Mesh door and vent, T-style door.  Four side windows with storm flaps and three carry bags for tent and poles.",15,Camping Equipment,490.00,P15CE1TN2.jpg,Tents,Blue,0.33,991,Star Gazer 6,1997-03-05 00:00:00.0,Star Gazer 6,952,Six-person,Star,,702,844,903,15110
"A single tent peg made of heavy-duty plated steel. Long enough even for hard, rocky ground. Length: 25 cm",16,Camping Equipment,1.00,P16CE1TN2.jpg,Tents,Silver,0.5,991,Star Peg,1997-03-05 00:00:00.0,Star Peg,952,25 cm,Star,,702,815,923,16110
The Hibernator Lite is the perfect summer sleeping bag.  Light weight and comfortable down to 10°C.  The rectangular shape allows for easy pairing.  Weight with stuff sack: 1.0 kg.,17,Camping Equipment,60.00,P17CE1SB3.jpg,Sleeping Bags,Light Blue,0.28,991,Hibernator Lite,1997-03-05 00:00:00.0,Hibernator Lite,953,195 cm,Hibernator,,704,820,915,17110
The Hibernator is a three-season sleeping bag. The rectangular shape allows for easy pairing. Nylon shell material.  8 cm loft.  Comfortable down to 0°C.  One size fits up to 195 cm.,18,Camping Equipment,86.00,P17CE1SB3.jpg,Sleeping Bags,Light Blue,0.33,991,Hibernator,1995-02-15 00:00:00.0,Hibernator,953,195 cm,Hibernator,,704,820,915,18110
"The Hibernator Extreme has all the features you need for four-season comfort.  Comfortable from -18° to 9°C. Silk comfort lining, nylon shell. Fits users to 195 cm, stuff sack included.",19,Camping Equipment,150.00,P19CE1SB3.jpg,Sleeping Bags,Dark Blue,0.37,991,Hibernator Extreme,2000-10-26 00:00:00.0,Hibernator Extreme,953,195 cm,Extreme,,706,820,909,19110
Mattress is made of extra-thick foam. Mesh stuff sack included for easy carrying and storage. Repair kit included.,20,Camping Equipment,78.55,P20CE1SB3.jpg,Sleeping Bags,Blue,0.28,991,Hibernator Self - Inflating Mat,1997-03-05 00:00:00.0,Hibernator Self - Inflating Mat,953,195 cm,Hibernator,,704,820,903,20110
Warms up quickly for snow camping comfort. The Hibernator Pad will resist cracking in temperatures as low as -30°C.,21,Camping Equipment,29.17,P21CE1SB3.jpg,Sleeping Bags,Grey,0.17,991,Hibernator Pad,1995-02-15 00:00:00.0,Hibernator Pad,953,195 cm,Hibernator,,704,820,913,21110
"Camp pillow is filled with soft, luxurious fibers for maximum compactness and resiliency. Covered with soft cotton on one side and soft flannel on the other.",22,Camping Equipment,10.00,P22CE1SB3.jpg,Sleeping Bags,Purple,0.33,991,Hibernator Pillow,1995-02-15 00:00:00.0,Hibernator Pillow,953,Unspecified,Hibernator,,704,800,921,22110
Aluminum frame camp cot that is lightweight and durable.  Size: 100 x 225 x 50 cm.  Weight: 7 kg.,23,Camping Equipment,65.33,P23CE1SB3.jpg,Sleeping Bags,Brown,0.33,991,Hibernator Camp Cot,1997-03-05 00:00:00.0,Hibernator Camp Cot,953,225 cm,Hibernator,,704,821,906,23110
"This pack is perfect for day trips and short hikes. Also great for students.  Separate front compartment, multi-layered interior organizer, 2 cm waist belt, 32,000 cu. cm.",24,Camping Equipment,62.50,P24CE1PK4.jpg,Packs,Red,0.17,991,Canyon Mule Climber Backpack,1997-03-05 00:00:00.0,Canyon Mule Climber Backpack,954,32000 cc,Canyon Mule,,707,828,922,24110
"A weekend getaway requires this pack.  It features a large front compression pocket, harness and waist belt, foam molded back panel, vinyl covered gear loops.  50,000 cu. cm.",25,Camping Equipment,166.66,P25CE1PK4.jpg,Packs,Blue,0.33,991,Canyon Mule Weekender Backpack,1995-02-15 00:00:00.0,Canyon Mule Weekender Backpack,954,50000 cc,Canyon Mule,,707,829,903,25110
"Set of three packs: handlebar pack, front pack and rear pack.  Designed to fit most mountain bikes.  Includes mounting hardware.  Total volume: 66,000 cu. cm.",26,Camping Equipment,213.33,P26CE1PK4.jpg,Packs,Black,0.33,991,Canyon Mule Journey Backpack,1995-02-15 00:00:00.0,Canyon Mule Journey Backpack,954,66000 cc,Canyon Mule,,707,830,902,26110
"Perfect for long back country trips, this pack features an expandable front pocket, includes a large sleeping bag compartment, padded shoulder harness, back and waist belt. 90,000 cu. cm.",27,Camping Equipment,238.88,P27CE1PK4.jpg,Packs,Blue,0.43,991,Canyon Mule Extreme Backpack,1997-03-05 00:00:00.0,Canyon Mule Extreme Backpack,954,90000 cc,Extreme,,706,831,903,27110
"A durable plastic cooler with hinged top, perfect for storing small items. Size:100 x 50 x 50 cm.",28,Camping Equipment,24.00,P28CE1PK4.jpg,Packs,Blue,0.2,991,Canyon Mule Cooler,1995-02-15 00:00:00.0,Canyon Mule Cooler,954,250000 cc,Canyon Mule,,707,833,903,28110
"This pack has a large capacity, perfect for carrying all your camping gear.  Solid metal zipper and leather bottom.",29,Camping Equipment,41.18,P29CE1PK4.jpg,Packs,Blue,0.4,991,Canyon Mule Carryall,1997-03-05 00:00:00.0,Canyon Mule Carryall,954,120000 cc,Canyon Mule,,707,832,903,29110
